no,same,diff
0,0.3014364242553711,0.18189378
1,1.0108060175552964,0.25556996
2,0.2780755162239074,0.18271981
3,0.3334386944770813,0.20965895
4,0.1801530122756958,0.23402268
5,0.3174052238464355,0.23597832
6,0.2778492569923401,0.25697318
7,0.3962699174880981,0.2521462
8,0.3090041279792785,0.23931806
9,0.4273645281791687,0.22537686
10,0.2282224297523498,0.26071283
11,0.2901721596717834,0.261898
12,0.3169513940811157,0.2065591
13,0.3143633008003235,0.26967466
14,0.1874667406082153,0.2117371
15,0.3354139328002929,0.1963172
16,0.4887059926986694,0.20383668
17,0.3932424187660217,0.2742125
18,0.240466833114624,0.22708523
19,0.3140550255775451,0.18485573
20,0.2712190747261047,0.28265437
21,0.3397101163864136,0.17880301
22,0.4018052220344543,0.2244518
23,0.282889187335968,0.25122398
24,0.3867928385734558,0.23448505
25,0.4287886023521423,0.24656232
26,0.2443990707397461,0.22552122
27,0.2404622435569763,0.22084792
28,0.3904097080230713,0.22821733
29,0.2431447505950927,0.1727377
30,0.4535197019577026,0.19877212
31,0.2930586338043213,0.20113847
32,0.5208555459976196,0.17966177
33,0.2693333625793457,0.2228199
34,0.116083800792694,0.18813999
35,0.1688081622123718,0.21807143
36,0.3676038980484009,0.186614
37,0.3159341216087341,0.18768372
38,0.3403857350349426,0.23768277
39,0.3027698397636413,0.23696901
40,0.3899778127670288,0.23495358
41,0.2846447825431824,0.22641425
42,0.4069783687591553,0.21809539
43,0.347889244556427,0.27284095
44,0.3281943798065185,0.27154303
45,0.2522439360618591,0.19743156
46,0.3684607148170471,0.25130808
47,0.1917105913162231,0.23586988
48,0.4657113552093506,0.19292383
49,0.2168792486190796,0.27416453
50,0.2468612194061279,0.2765395
51,0.1646702289581298,0.23041053
52,0.4480438828468323,0.22123523
53,0.4327462315559387,0.22089984
54,0.186697781085968,0.20832096
55,0.4231166839599609,0.25095537
56,0.2622678279876709,0.21673408
57,0.3229780793190002,0.19150515
58,0.2577478289604187,0.27576378
59,0.1288923621177673,0.22891405
